company,position,posted_at,pulled_at,url
Databricks,Software Engineer- Fullstack- Singapore,2026-07-01T18:31:28-04:00,2026-07-06T03:08:26+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8341810002
Databricks,Software Engineer- Fullstack- Tokyo,2026-07-01T18:31:28-04:00,2026-07-06T03:08:26+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8345074002
Databricks,AI Engineer - FDE (Forward Deployed Engineer),2026-07-01T23:59:14-04:00,2026-07-06T03:08:25+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8574655002
Databricks,AI Engineer - FDE (Forward Deployed Engineer),2026-07-01T18:31:27-04:00,2026-07-06T03:08:25+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8330188002
Databricks,AI Engineer - FDE (Forward Deployed Engineer),2026-07-01T18:31:27-04:00,2026-07-06T03:08:25+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8298792002
Anthropic,"Software Engineer, Safeguards Foundations (Internal Tooling)",2026-06-16T14:49:57-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/5191433008
Cursor,"Software Engineer, Storage",2026-06-28T21:38:54.013+00:00,2026-07-06T03:08:28+00:00,https://jobs.ashbyhq.com/cursor/299ce422-0281-4282-aadd-bc22553be0b5
Cursor,"Software Engineer, Services Platform",2026-06-28T21:38:56.671+00:00,2026-07-06T03:08:28+00:00,https://jobs.ashbyhq.com/cursor/6eef7144-f2cc-48a8-b065-01f04e4c70ff
OpenAI,"Software Engineer, Private Computing",2026-06-12T17:06:23.120+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/0f887fe6-39f4-44f6-8ee5-230c3002f0d7
OpenAI,"Data Scientist, Identity",2026-06-22T22:33:26.193+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/1f9c3666-82c8-45a7-8d4b-633a265ce996
OpenAI,"Trust & Safety Operations Analyst, Ads",2026-06-22T19:56:34.514+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/26e8c199-7dcb-4144-b263-f35220421a6d
OpenAI,"Full Stack Software Engineer, ChatGPT Finances",2026-06-15T18:16:20.513+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/39e06ef9-5e62-425d-81e2-e8690188011f
OpenAI,"Software Engineer, Scaled Abuse",2026-06-08T16:15:58.343+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/3c67f712-697d-48d8-b05c-01be896e61da
OpenAI,Regulatory Operations Analyst,2026-06-30T17:49:13.323+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/a03cd69e-8384-48aa-9c5e-fb50975b5164
New Flyer,Data Scientist,2026-07-01T18:47:01+00:00,2026-07-06T02:19:05+00:00,https://remoteOK.com/remote-jobs/remote-data-scientist-new-flyer-1134357
Software Engineering Weber GmbH,Embedded Software Developer - FREELANCE GESUCHT,2026-07-04T07:30:33+00:00,2026-07-06T02:19:04+00:00,https://www.arbeitnow.com/jobs/companies/software-engineering-weber-gmbh/embedded-software-developer-freelance-gesucht-kempten-5816
MY Humancapital GmbH,IT Business Analyst (m/w/d),2026-07-03T17:00:31+00:00,2026-07-06T02:19:04+00:00,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/it-business-analyst-munich-49076
